Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Africa Western and Central,AFW,73121.881,81437.592,85149.301,83896.411,82716.821,86715.932,95981.281,96482.13,94241.08,92056.329,98264.734,102654.226,95441.018,102305.06,107064.568,108131.576,105232.975,101739.773,100844.972,97863.67,104745.968,104000.028,101892.39,99376.95,103009.31,102638.771,98667.372,100023.872,102943.61,105890.152
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Arab World,ARB,267868.6,253171.1,262376.3,281433.5,297359.8,308162.6,313983.9,329373.4,347571.9,351548.9,368493.7,358903.3,350105.3,363210.1,378243.2,393522.4,401882.1,400562.6,413489.6,398858.1,416203.9,391494,437790.7,418474.3,405518.7,413266.6,433727.2,450613.1,466079.238,470636.68
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Caribbean small states,CSS,6280.635,6265.231,6111.728,4426.023,2951.02,2741.616,3158.443,3090.17,3224.798,3618.325,4072.952,4340.081,4812.31,5765.139,6070.167,6567.296,7545.019,7771.64,7825.661,7896.384,8177.706,8110.04,8114.476,8118.812,8020.247,7529.482,6697.184,6719.688,6890.191,6869.893
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Central Europe and the Baltics,CEB,35055.028,32917.052,30849.996,31722.135,29892.233,29608.193,30056.576,28611.598,26868.182,25472.046,23998.397,23554.002,23256.726,23630.455,22971.669,23744.954,23919.729,22982.249,23311.624,22588.742,23566.229,23288.943,22714.251,21532.339,20803.816,20825.009,20601.303,20871.913,20644.621,20317.329
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Early-demographic dividend,EAR,667649.27292,718998.6596,704921.4682,737238.068,743754.183,772568.939,797958.68,809675.899,812953.396,807362.451,846166.38,840918.109,835741.186,879086.591,906880.644,936513.004,952468.372,959537.628,977575.633,937290.319,964521.535,948948.144,994231.351,971770.559,966778.018,950184.654,975540.111,984842.539,985399.155,946270.976
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,East Asia & Pacific,EAS,353439.26992,359183.4696,361439.6782,370723.878,382931.478,412266.044,410653.745,414112.336,407152.736,404440.026,415471.72,431212.7,445938.181,492465.125,544181.471,593665.964,634946.011,673188.463,684239.717,714229.47,767545.223,820531.566,823156.01,848417.643,860121.686,848059.631,799869.864,812795.587,840883.11,866222.544
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,East Asia & Pacific (excluding high income),EAP,324504.96792,329805.8136,332096.2682,341138.214,353694.76,381932.573,379749.971,382041.16,374108.558,370729.146,379369.938,393656.693,407744.548,453793.767,505026.887,553322.055,593240.919,629355.189,640159.06,669993.531,719732.501,772675.189,774027.478,797025.755,806679.843,793377.333,744459.297,755477.852,783420.506,806536.071
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,East Asia & Pacific (IDA & IBRD countries),TEA,303382.52792,310003.0036,313606.4782,323952.754,337829.93,367343.503,366463.731,370027.46,363371.888,361219.116,371094.243,385236.67,399207.397,445138.874,496254.351,544421.477,583767.55,619389.03,629590.51,658945.891,708139.071,760950.399,762083.128,784928.355,794350.383,780870.213,731854.447,742318.082,770231.816,793205.551
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Euro area,EMU,37218.817,37031.81,35841.337,35611.838,34624.045,35048.621,36343.373,35632.44,35496.003,35301.756,35024.324,35459.615,35304.429,37295.191,36327.599,37020.756,36975.386,37150.125,37986.173,36478.091,37773.144,34649.483,35436.731,35544.169,31977.312,32748.396,32931.217,33575.468,32999.818,33234.367
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Europe & Central Asia,ECS,697625.713,664915.111,615429.266,598657.633,559130.91,548253.491,545735.916,521749.405,524272.013,544028.397,563717.978,572239.436,585157.724,623742.458,635635.429,655869.945,655733.545,665429.924,670322.478,625943.852,654775.483,671375.686,665977.833,668254.626,656225.003,655950.685,670713.705,688475.529,722071.738,735316.251
