Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Vietnam,VNM,37028.95,38221.9,39366.8,40175.35,40664.75,41731.83,43052.65,43662.95,45010.05,46614.18,46890.8,45988.45,46483.48,47075.48,47973.65,48539.8,49559.45,49533.53,49662.48,49677.1,49536.03,49513.45,49522.33,49975.7,49831.28,50325.1,50239.9,50104.88,49688.43,48159.53
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Yemen, Rep.",YEM,2782.55,2650.623,2703.733,2757.483,2730.19,2780.058,2875.998,2998.378,3141.928,3211.895,3313.713,3470.52,3508.053,3894.535,3937.5,3981.335,4067.223,4225.46,4356.915,4459.215,4514.343,4625.19,4675.98,4752.685,4831.465,4774.148,4632.515,4605.46,4356.713,4238.515
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Zambia,ZMB,9721.553,9812.833,9833.645,9681.203,9502.743,9346.845,8554.095,8729.095,9636.728,9007.818,8537.045,8735.158,9629.318,10589.26,10508.42,11044.5,9926.615,10116.03,10128.23,9531.518,10516.05,9851.57,11323.96,11471,11208.95,11312.64,10991.88,10239.83,10329.91,10568.6
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Zimbabwe,ZWE,7137.72,6203.56,6770.115,5207.293,5366.055,5501.265,6686.613,6555.03,6977.733,7223.4,6930.625,7127.113,6368.203,6186.955,6410.015,6370.925,6047.01,6276.408,6408.363,6811.953,7280.028,7561.993,7250.183,7001.035,5898.355,6647.198,6152.335,6246.328,6416.155,6535.14
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Africa Eastern and Southern,AFE,232242.425,230434.189,234332.354,232203.58,235639.301,239713.038,239144.602,241918.228,256238.719,256531.924,254040.149,254642.672,269246.24,275405.689,277985.012,289099.246,283157.147,304148.536,315550.596,313851.977,325920.525,328835.268,333778.944,332137.997,332206.211,337630.486,341850.829,340798.681,342707.518,345781.1
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Africa Western and Central,AFW,91908.931,98696.459,100041.586,102076.261,104829.96,107086.671,110919.149,114660.309,120409.794,122219.105,129781.506,125687.521,128464.81,137555.769,138948.394,148203.867,149842.16,151282.224,153563.485,152737.435,162154.86,170406.363,175143.756,181476.97,184645.396,191053.808,206624.094,210704.778,216230.525,219423.384
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Arab World,ARB,83541.202,81982.895,84181.999,87522.383,90893.119,92362.334,94674.584,97970.785,100192.187,103569.587,106843.525,104245.821,107746.429,109531.004,112076.508,115055.102,114401.467,116884.18,115940.37,115783.007,114015.855,116803.335,121454.839,121837.815,122583.689,121416.813,122022.884,120946.787,119259.145,124894.901
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Caribbean small states,CSS,2192.676,2486.534,2677.634,2710.851,2676.571,2870.659,2818.397,2761.973,2661.576,2769.18,2463.412,2563.745,2325.252,2612.532,2434.393,2277.686,2035.804,2019.288,2137.364,2275.893,2294.712,2413.866,2400.702,2590.553,2712.821,2742.144,2437.337,2572.817,2480.058,2806.402
