Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Jordan,JOR,8197.923,8679.658,9198.498,9631.165,9982.583,8950.746,7872.317,6791.148,5693.176,4671.919,3575.125,3653.974,3754.393,3851.358,4067.532,4216.976,4383.363,4627.105,4880.643,4979.249,4988.332,4981.524,5107.252,5309.68,5444.52,5796.703,6241.703,6390.301,6558.555,6711.203
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Kazakhstan,KAZ,40689.93,40600,37000,37057.84,36955.83,34284.33,31931.54,31072.7,29519.87,28374.59,29855.73,30830.25,39284.83,37716.11,41110.72,43310.72,45140.93,44556.61,46971.19,47076.92,48586.02,48684.57,47580.69,47312.32,48184.62,47347.23,45948.2,50649.51,49513.78,48894.85
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Kenya,KEN,18443.54,17759.34,17702.17,17654.76,17751.47,17711.12,16765.49,16792.82,17140.14,18242.26,16910.06,16926.47,17689.16,18830.05,20049.73,19571.4,19176.29,29868.23,30330.04,29177.5,29373.84,30129.2,29960.04,29490.61,29950.48,30439.35,32959.67,30856.95,32037.45,36839.52
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Kiribati,KIR,13.5,13.6,13.9,14.1,14.3,14.5,14.898,15.095,15.291,15.487,16.094,16.441,17.136,17.354,17.651,17.949,18.267,18.607,18.9,19.188,19.621,19.928,20.414,20.716,21.2,21.569,21.843,22.167,22.514,22.861
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Korea, Dem. People's Rep.",PRK,26626.98,25125.83,23784.7,22431.47,21097.32,19673.36,18031.35,16798.61,15520.33,14403.18,13034.94,13389.2,13586.36,13732.31,13848.04,14019.64,14600.19,15096.22,15647.7,16149.52,16706.45,16872.77,17105.81,17149.89,17274.25,17208.87,17348.24,17940.18,17952.6,18080.56
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Korea, Rep.",KOR,24354.61,24554.19,24656.46,24805.04,25116.75,25278.42,25938.34,26265.49,24599.71,24368.51,24590.47,25100.38,24915.95,24889.82,23931.85,24093.69,24118.93,23713.59,23695.36,24029.08,24274.1,23915.55,23956.91,23779.01,23458.66,23224.9,22919.3,22831.62,22841.49,22701.43
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Kuwait,KWT,9517.589,2409.024,8520.897,14943.59,16551.58,16686.7,16985.25,17543.78,17110.92,15894.17,17295.97,16893.4,16154.95,18589.27,19795.03,20857.46,21389.15,20676.85,21745.87,19590.77,20143.22,22049.5,23363.93,24326.26,24147.75,24322.67,25863.45,24381.94,24777.36,24708.31
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Kyrgyz Republic,KGZ,7317.019,7530.864,6757.923,5810.213,4439.87,3968.37,3727.663,3703.113,3536.485,3374.495,3422.58,3491.44,3549.588,3422.95,3604.585,3507.003,3548.877,3596.042,3669.419,3853.799,3886.821,3979.43,4068.829,4173.895,4359.559,4374.548,4482.122,4582.351,4717.042,4796.898
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Lao PDR,LAO,4822.025,4682.909,4851.664,4845.11,5102.688,5071.919,5052.471,5215.864,4874.669,4806.872,5377.125,5559.007,5661.531,5793.55,6019.499,5914.034,5957.93,6198.931,6368.258,6594.099,6952.531,6716.324,7258.95,7244.114,7395.763,7585.251,7854.025,7823.994,7609.86,7563.928
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Latvia,LVA,4064.411,4070.724,4604.853,3992.432,2911.703,2639.989,2600.272,2494.365,2406.973,2294.876,2170.767,2199.824,2238.869,2176.444,2127.144,2151.473,2145.036,2144.945,2161.683,2105.33,2056.041,2003.857,2055.573,2065.799,2123.015,2043.624,2053.545,2047.663,2000.533,1980.158
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Lebanon,LBN,1229.06,1275.128,1305.175,1340.882,1362.709,1509.992,1678.124,1825.611,1975.561,2127.158,2262.148,2307.19,2361.412,2412.122,2457.222,2510.715,2561.707,2589.97,2663.183,2721.841,2773.671,2850.947,2924.866,2981.137,3052.283,3103.936,3180.932,3264.163,3335.341,3413.832
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Lesotho,LSO,995.744,1003.609,1104.969,1077.811,1049.904,1010.179,977.195,950.641,898.982,1224.563,1174.112,1162.935,1056.355,1091.44,1047.645,1144.587,1095.014,1123.51,1091.971,1098.49,1087.099,1112.309,1115.082,1047.177,1031.995,1018.38,1000.766,1089.117,1067.746,1043.842
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Liberia,LBR,218.193,194.046,196.697,176.495,171.776,173.679,169.044,190.35,200.93,199.735,198.818,196.611,195.355,207.988,207.609,203.725,225.077,242.148,254.988,383.251,295.511,301.11,306.32,299.684,333.806,397.338,348.001,334.216,335.266,374.379
